bulletin_date,1st,2A*,2B,2nd,3rd,4rd,4th,5th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Targeted Employment Areas/ Regional Centers and Pilot Programs,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers,Targeted Employment Areas/Regional Centers
2002-05-01,1999-03-01,1997-01-15,1993-09-01,,1996-06-22,,1990-03-15,,,,,,,,,,,,,,,
2002-06-01,1995-07-01,1997-03-01,1993-10-01,,1996-07-08,,1990-04-15,,,,,,,,,,,,,,,
2002-07-01,1995-07-01,1997-04-15,1993-11-01,,1996-07-22,,1990-05-22,,,,,,,,,,,,,,,
2002-08-01,1996-07-01,1997-05-15,1993-12-08,,1996-08-08,,1990-07-01,,,,,,,,,,,,,,,
2002-09-01,1997-04-01,1997-06-15,1994-01-08,,1996-09-15,,1990-09-01,,,,,,,,,,,,,,,
2002-10-01,1999-03-01,1997-07-15,1994-02-01,,1996-10-08,,1990-10-01,,,,,,,,,,,,,,,
2002-11-01,1999-03-15,1997-08-15,1994-03-01,,1996-11-15,,1990-11-01,,,,,,,,,,,,,,,
2002-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,CURRENT,,,,,,,,,,,,CURRENT,CURRENT,CURRENT
2003-02-01,1999-05-22,1997-11-15,1994-05-22,,1997-02-08,,1991-02-08,,,,,,,,,,,,,,,
2003-03-01,1999-06-22,1997-12-08,1994-07-01,,1997-02-22,1991-03-08,,,,,,,,,,,,,,,,
2003-04-01,1999-08-01,1998-02-01,1994-08-15,,1997-03-08,,1991-04-22,,,,,,,,,,,,,,,
2003-05-01,1999-10-01,1998-03-15,1994-10-01,,1997-03-15,,1991-06-01,,,,,,,,,,,,,,,
2003-06-01,1999-11-01,1998-04-15,1994-10-22,,1997-03-15,,1991-07-08,,,,,,,,,,,,,,,
2003-07-01,1999-12-15,1998-05-15,1994-12-01,,1997-04-15,,1991-08-15,,,,,,,,,,,,,,,
2003-08-01,2000-02-01,1998-07-01,1995-01-15,,1997-05-01,,1991-09-22,,,,,,,,,,,,,,,
2003-09-01,2000-04-08,1998-08-15,1995-03-15,,1997-06-08,,1991-11-01,,,,,,,,,,,,,,,
2003-10-01,2000-05-15,1998-09-15,1995-05-01,,1997-07-01,,1991-12-15,,,,,,,,,,,,,,,
2003-11-01,2000-01-15,1998-10-08,1995-05-01,,1997-08-01,,1992-01-15,,,,,,,,,,,,,,,
2003-12-01,2000-07-15,1998-11-15,1995-05-01,,1997-08-15,,1992-02-01,,,,,,,,,,,,,,,
2004-01-01,2000-08-01,1999-01-01,1995-05-08,,1997-08-22,,1992-02-22,,,,,,,,,,,,,,,
2004-05-01,2000-10-22,1999-10-15,1995-05-15,,1997-10-15,,1992-06-15,,,,,,,,,,,,,,,
2004-06-01,2000-10-22,1999-12-08,1995-06-15,,1997-10-15,,1992-07-08,,,,,,,,,,,,,,,
2015-10-01,CURRENT,,,CURRENT,2015-09-01,,CURRENT,,,,,,,,,CURRENT,,,,CURRENT,2015-09-01,
2015-11-01,CURRENT,,,CURRENT,2015-09-01,,CURRENT,,,,,CURRENT,CURRENT,,,,,,,CURRENT,2015-09-01,
2015-12-01,CURRENT,,,CURRENT,2015-09-01,,CURRENT,,,,CURRENT,,CURRENT,,,,,,,CURRENT,2015-09-01,
2016-01-01,CURRENT,,,CURRENT,2016-01-01,,CURRENT,,,,CURRENT,,CURRENT,,,,,,,CURRENT,2016-01-01,
2016-02-01,CURRENT,,,CURRENT,2016-01-01,,CURRENT,,,,CURRENT,,CURRENT,,,,,,,CURRENT,2016-01-01,
2016-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,CURRENT,,,,,,,CURRENT,CURRENT,
2016-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,CURRENT,,,,,,,CURRENT,CURRENT,
2016-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2016-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2016-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2016-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2016-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2016-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2016-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2016-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-01-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,CURRENT,,,,CURRENT,,CURRENT,CURRENT,
2017-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,CURRENT,,CURRENT,,,,,,,CURRENT,CURRENT,
2017-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,,,,,,,CURRENT,CURRENT,CURRENT,CURRENT,
2017-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-01-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-10-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-11-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2018-12-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-01-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-02-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-03-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-04-01,2018-06-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-05-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-06-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-07-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-08-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-09-01,2018-09-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-10-01,2019-07-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-11-01,2019-07-01,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2019-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2020-01-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-02-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-03-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-04-01,CURRENT,,,CURRENT,2019-01-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-01-01,
2020-05-01,CURRENT,,,CURRENT,2019-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-04-01,
2020-06-01,CURRENT,,,CURRENT,2019-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-04-01,
2020-07-01,CURRENT,,,CURRENT,2019-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2019-04-01,
2020-08-01,CURRENT,,,CURRENT,2020-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2020-04-01,
2020-09-01,CURRENT,,,CURRENT,2020-04-01,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,2020-04-01,
2020-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2020-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2020-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-01-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2021-12-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-01-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-02-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-03-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-04-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,,,,CURRENT,,,,,,,CURRENT,CURRENT,CURRENT,
2022-05-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-06-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-07-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-08-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-09-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,CURRENT,
2022-10-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2022-09-08,
2022-11-01,CURRENT,,,CURRENT,CURRENT,,CURRENT,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2022-09-08,
2022-12-01,CURRENT,,,2022-12-01,CURRENT,,2022-07-22,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-07-22,2022-09-08,
2023-01-01,CURRENT,,,2022-12-01,CURRENT,,2022-07-22,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-07-22,2022-09-08,
2023-02-01,CURRENT,,,2022-12-01,CURRENT,,2022-07-22,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-07-22,2020-02-01,
2023-03-01,CURRENT,,,2022-12-01,CURRENT,,2022-03-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2022-03-01,2020-02-01,
2023-04-01,CURRENT,,,2022-12-01,CURRENT,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-05-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-06-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-07-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-02-01,
2023-08-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-06-01,
2023-09-01,CURRENT,,,2022-12-01,2023-05-01,,2018-10-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2018-10-01,2020-06-01,
2023-10-01,CURRENT,,,2022-07-08,2021-12-01,,2019-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-08-01,
2023-11-01,CURRENT,,,2022-07-15,2021-12-01,,2019-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-01-01,2020-08-01,
2023-12-01,CURRENT,,,2022-07-15,2021-12-01,,2019-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-08-01,
2024-01-01,CURRENT,,,2022-11-01,2022-08-01,,2019-05-15,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-05-15,2020-09-01,
2024-02-01,CURRENT,,,2022-11-15,2022-09-01,,2019-05-15,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-05-15,2020-09-01,
2024-03-01,CURRENT,,,2022-11-22,2022-09-08,,2019-12-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-12-01,2020-09-08,
2024-04-01,CURRENT,,,2023-01-15,2022-11-22,,2020-11-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-10-08,
2024-05-01,CURRENT,,,2023-01-15,2022-11-22,,2020-11-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2020-11-01,2020-10-08,
2024-06-01,CURRENT,,,2023-01-15,2022-11-22,,2020-11-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2020-11-01,2020-10-08,
2024-07-01,CURRENT,,,2023-03-15,2021-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2021-01-01,
2024-08-01,CURRENT,,,2023-03-15,2021-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2021-01-01,
2024-09-01,CURRENT,,,2023-03-15,2020-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-01,
2024-10-01,CURRENT,,,2023-03-15,2022-11-15,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-12-01,
2024-11-01,CURRENT,,,2023-03-15,2022-11-15,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-01,
2024-12-01,CURRENT,,,2023-03-15,2022-11-15,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-01,
2025-01-01,CURRENT,,,2023-04-01,2022-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2020-12-08,
2025-02-01,CURRENT,,,2023-04-01,2022-12-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2020-12-08,
2025-03-01,CURRENT,,,2023-05-15,2022-12-01,,2019-08-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2019-08-01,2021-02-01,
2025-04-01,CURRENT,,,2023-06-22,2023-01-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-05-22,
2025-05-01,CURRENT,,,2023-06-22,2023-01-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-05-22,
2025-06-01,CURRENT,,,2023-10-15,2023-02-08,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-06-22,
2025-07-01,CURRENT,,,2023-10-15,2023-04-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-08,
2025-08-01,CURRENT,,,2023-09-01,2023-04-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-08,
2025-09-01,CURRENT,,,2023-09-01,2023-04-01,,UNAVAILABLE,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-08,
2025-10-01,CURRENT,,,2023-12-01,2023-04-01,,2020-07-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-15,
2025-11-01,CURRENT,,,2023-12-01,2023-04-01,,2020-07-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-07-15,
2025-12-01,CURRENT,,,2024-02-01,2023-04-15,,2020-09-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2020-09-01,2021-08-01,
2026-01-01,CURRENT,,,2024-04-01,2023-04-22,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-01-01,2021-09-01,
2026-02-01,CURRENT,,,2024-04-01,2023-06-01,,2021-01-01,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,UNAVAILABLE,2021-09-01,
2026-03-01,CURRENT,,,2024-10-15,2023-10-01,,2021-07-15,,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,2021-07-15,2021-11-01,
