bulletin_date,1st,2A*,2B,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Targeted Employment Areas/ Regional Centers and Pilot Programs,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers
2002-05-01,1999-03-01,1997-01-15,1993-09-01,,1996-06-22,1989-05-01,,,,,,,,,,,,,
2002-06-01,1995-07-01,1997-03-01,1993-10-01,,1996-07-08,1989-07-01,,,,,,,,,,,,,
2002-07-01,1995-07-01,1997-04-15,1993-11-01,,1996-07-22,1990-05-22,,,,,,,,,,,,,
2003-07-01,1999-12-15,1998-05-15,1994-12-01,,1997-04-15,1990-03-22,,,,,,,,,,,,,
2003-08-01,2000-02-01,1998-07-01,1995-01-15,,1997-05-01,1990-05-22,,,,,,,,,,,,,
2003-09-01,2000-04-08,1998-08-15,1995-03-15,,1997-06-08,1990-01-01,,,,,,,,,,,,,
2003-10-01,2000-05-15,1998-09-15,1995-05-01,,1997-07-01,1990-07-22,,,,,,,,,,,,,
2003-11-01,2000-06-15,1998-10-08,1995-05-01,,1997-08-01,1990-08-15,,,,,,,,,,,,,
2003-12-01,2000-07-15,1998-11-15,1995-05-01,,1997-08-15,1990-10-01,,,,,,,,,,,,,
2004-01-01,2000-08-01,1999-01-01,1995-05-08,,1997-08-22,1990-11-22,,,,,,,,,,,,,
2004-05-01,2000-10-22,1999-10-15,1995-05-15,,1997-10-15,1991-04-01,,,,,,,,,,,,,
2004-06-01,2000-10-22,1999-12-08,1995-06-15,,1997-10-15,1991-05-15,,,,,,,,,,,,,
2015-10-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,CURRENT,,,,CURRENT,2005-07-01
2015-11-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,CURRENT,,,,,,,CURRENT,2005-07-01
2015-12-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2005-07-01
2016-01-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2005-07-01
2016-02-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2005-07-01
2016-03-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,CURRENT,,,,,,,CURRENT,2005-07-01
2016-04-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,CURRENT,,,,,,,CURRENT,2005-07-01
2016-05-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-06-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-07-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-08-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-09-01,CURRENT,,,2009-07-01,2005-07-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2005-07-01
2016-10-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-11-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2016-12-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-01-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-02-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-03-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-04-01,CURRENT,,,2009-04-22,2005-07-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2005-07-01
2017-05-01,CURRENT,,,2009-02-01,2006-04-22,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2006-04-22
2017-06-01,CURRENT,,,2009-02-01,2006-04-22,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2006-04-22
2017-07-01,CURRENT,,,2009-02-01,2006-10-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2006-10-01
2017-08-01,CURRENT,,,2009-02-01,2007-01-01,CURRENT,,,,,,CURRENT,,,,CURRENT,,CURRENT,2007-01-01
2017-09-01,CURRENT,,,2009-02-01,2007-01-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2007-01-01
2017-10-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,CURRENT,,CURRENT,,,,,,,CURRENT,2008-01-01
2017-11-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,,,,,,,CURRENT,CURRENT,CURRENT,2008-01-01
2017-12-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-01-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-02-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-03-01,CURRENT,,,2009-02-08,2008-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-01-01
2018-04-01,CURRENT,,,2009-02-08,2008-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-04-01
2018-05-01,CURRENT,,,2009-04-01,2008-09-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-09-01
2018-06-01,CURRENT,,,2009-04-01,2008-09-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2008-09-01
2018-07-01,CURRENT,,,2009-05-22,2009-05-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-05-01
2018-08-01,CURRENT,,,2009-05-22,2009-05-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-05-01
2018-09-01,CURRENT,,,2009-05-22,2009-05-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-05-01
2018-10-01,2017-10-01,,,2009-05-22,2009-10-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-10-01
2018-11-01,2017-10-01,,,2009-05-22,2009-10-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2009-10-01
2018-12-01,2017-10-01,,,2009-05-22,2010-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-01-01
2019-01-01,2017-10-01,,,2009-05-22,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-02-01,2017-10-01,,,2009-05-22,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-03-01,2017-10-01,,,2009-05-22,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-04-01,2017-10-01,,,2009-06-01,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-05-01,2017-10-01,,,2009-06-01,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-06-01,2017-10-01,,,2009-06-01,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-07-01,2017-10-01,,,2009-06-01,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-08-01,2017-10-01,,,2009-06-01,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-09-01,2017-10-01,,,2009-06-01,2010-04-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-04-01
2019-10-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2019-11-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2019-12-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-01-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-02-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-03-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-04-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-05-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-06-01,2017-03-15,,,2009-07-01,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-07-01,2017-08-01,,,2009-08-15,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-08-01,2018-07-01,,,2009-08-15,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-09-01,2018-07-01,,,2009-08-15,2010-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2010-02-01
2020-10-01,2020-09-01,,,2011-05-15,2015-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2015-01-01
2020-11-01,2020-09-01,,,2011-05-15,2015-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2015-01-01
2020-12-01,2020-11-01,,,2011-05-15,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-01-01,2020-11-01,,,2011-05-15,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-02-01,2020-11-01,,,2011-05-15,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-03-01,CURRENT,,,2011-05-15,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-04-01,CURRENT,,,2011-05-15,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-05-01,CURRENT,,,2011-05-15,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-06-01,CURRENT,,,2011-08-01,2014-01-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-01
2021-07-01,CURRENT,,,2011-12-01,2014-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-02-01
2021-08-01,CURRENT,,,2011-12-01,2014-02-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-02-01
2021-09-01,CURRENT,,,2011-12-01,2014-03-01,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-03-01
2021-10-01,CURRENT,,,2012-07-08,2014-01-08,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2014-01-08
2021-11-01,CURRENT,,,2013-01-08,2012-01-22,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2012-01-22
2021-12-01,CURRENT,,,2013-07-08,2012-01-22,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2012-01-22
2022-01-01,CURRENT,,,2013-07-08,2012-01-22,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2012-01-22
2022-02-01,CURRENT,,,2013-09-01,2012-01-22,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2012-01-22
2022-03-01,CURRENT,,,2013-09-01,2012-01-22,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2012-01-22
2022-04-01,CURRENT,,,2014-09-01,2012-01-22,CURRENT,,,,CURRENT,,,,,,,CURRENT,CURRENT,2012-01-22
2022-05-01,CURRENT,,,2014-12-01,2012-01-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2012-01-22
2022-06-01,CURRENT,,,2014-12-01,2012-01-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2012-01-22
2022-07-01,CURRENT,,,2015-01-01,2012-01-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2012-01-22
2022-08-01,CURRENT,,,2015-01-01,2012-02-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2012-02-22
2022-09-01,CURRENT,,,2015-01-01,2012-02-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,CURRENT,,,CURRENT,2012-02-22
2022-10-01,CURRENT,,,2012-05-01,2012-07-01,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,CURRENT,2012-07-01
2022-11-01,CURRENT,,,2012-05-01,2012-07-01,CURRENT,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,CURRENT,2012-07-01
2022-12-01,CURRENT,,,2012-05-01,2012-08-01,2022-07-22,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2022-07-22,2012-08-01
2023-01-01,2022-06-01,,,2012-05-01,2012-08-01,2022-07-22,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2022-07-22,2012-08-01
2023-02-01,2022-06-01,,,2012-05-01,2012-08-01,2022-07-22,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2022-07-22,2012-08-01
2023-03-01,2022-06-01,,,2012-05-01,2012-08-01,2021-04-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2021-04-01,2012-08-01
2023-04-01,2022-06-01,,,2012-05-01,2012-08-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2018-10-01,2012-08-01
2023-05-01,2022-06-01,,,2012-05-01,2012-08-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2018-10-01,2012-08-01
2023-06-01,2022-06-01,,,2012-05-01,2012-08-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2018-10-01,2012-08-01
2023-07-01,2022-06-01,,,2012-05-01,2012-08-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2018-10-01,2012-08-01
2023-08-01,2022-06-01,,,2012-05-01,2012-08-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2018-10-01,2012-08-01
2023-09-01,2022-06-01,,,2012-05-01,2012-08-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,,2019-12-08,,,2018-10-01,2012-08-01
2023-10-01,2017-01-01,,,2012-01-01,2012-05-01,2019-01-01,CURRENT,CURRENT,,,,,CURRENT,,2018-12-15,,,UNAVAILABLE,2012-05-01
2023-11-01,2017-01-01,,,2012-01-01,2012-05-01,2019-01-01,CURRENT,CURRENT,,,,,CURRENT,,2018-12-15,,,2019-01-01,2012-05-01
2023-12-01,2017-01-01,,,2012-01-01,2012-05-01,2019-01-01,CURRENT,CURRENT,,,,,CURRENT,,2018-12-15,,,UNAVAILABLE,2012-05-01
2024-01-01,2020-09-01,,,2012-03-01,2012-06-01,2019-05-15,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2019-05-15,2012-06-01
2024-02-01,2020-09-01,,,2012-03-01,2012-07-01,2019-05-15,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2019-05-15,2012-07-01
2024-03-01,2020-10-01,,,2012-03-01,2012-07-01,2019-12-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2019-12-01,2012-07-01
2024-04-01,2021-03-01,,,2012-04-15,2012-08-15,2020-11-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,UNAVAILABLE,2012-08-15
2024-05-01,2021-03-01,,,2012-04-15,2012-08-15,2020-11-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2020-11-01,2012-08-15
2024-06-01,2021-03-01,,,2012-04-15,2012-08-22,2020-11-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2020-11-01,2012-08-22
2024-07-01,2022-02-01,,,2012-06-15,2012-09-22,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2021-01-01,2012-09-22
2024-08-01,2022-02-01,,,2012-07-15,2012-10-22,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2021-01-01,2012-10-22
2024-09-01,2022-02-01,,,2012-07-15,2012-10-22,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2020-12-01,,,2021-01-01,2012-10-22
2024-10-01,2022-02-01,,,2012-07-15,2012-11-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-01-01,,,UNAVAILABLE,2012-11-01
2024-11-01,2022-02-01,,,2012-07-15,2012-11-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-01-01,,,2021-01-01,2012-11-01
2024-12-01,2022-02-01,,,2012-08-01,2012-11-08,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-01-01,,,2021-01-01,2012-11-08
2025-01-01,2022-02-01,,,2012-10-01,2012-12-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-01-01,,,UNAVAILABLE,2012-12-01
2025-02-01,2022-02-01,,,2012-10-15,2012-12-15,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-01-01,,,2021-01-01,2012-12-15
2025-03-01,2022-02-01,,,2012-12-01,2013-02-01,2019-08-01,CURRENT,CURRENT,,,,,CURRENT,,2022-01-01,,,2019-08-01,2013-02-01
2025-04-01,2022-02-15,,,2013-01-01,2013-04-01,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,,2019-11-01,,,UNAVAILABLE,2013-04-01
2025-05-01,2022-02-15,,,2013-01-01,2013-04-15,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,,2019-05-01,,,UNAVAILABLE,2013-04-15
2025-06-01,2022-02-15,,,2013-01-01,2013-04-15,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,,2019-05-01,,,UNAVAILABLE,2013-04-15
2025-07-01,2022-02-15,,,2013-01-01,2013-04-22,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,,2019-05-01,,,UNAVAILABLE,2013-04-22
2025-08-01,2022-02-15,,,2013-01-01,2013-05-22,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,,2019-11-15,,,UNAVAILABLE,2013-05-22
2025-09-01,2022-02-15,,,2013-01-01,2013-05-22,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,,2019-11-15,,,UNAVAILABLE,2013-05-22
2025-10-01,2022-02-15,,,2013-04-01,2013-08-22,2020-07-01,CURRENT,CURRENT,,,,,CURRENT,,2021-02-01,,,UNAVAILABLE,2013-08-22
2025-11-01,2022-02-15,,,2013-04-01,2013-08-22,2020-07-01,CURRENT,CURRENT,,,,,CURRENT,,2021-02-01,,,UNAVAILABLE,2013-08-22
2025-12-01,2022-03-15,,,2013-05-15,2013-09-22,2020-09-01,CURRENT,CURRENT,,,,,CURRENT,,2021-07-01,,,2020-09-01,2013-09-22
2026-01-01,2023-02-01,,,2013-07-15,2013-11-15,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-05-01,,,2021-01-01,2013-11-15
2026-02-01,2023-02-01,,,2013-07-15,2013-11-15,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,,2022-05-01,,,UNAVAILABLE,2013-11-15
2026-03-01,2023-03-01,,,2013-09-15,2013-11-15,2021-07-15,CURRENT,CURRENT,,,,,CURRENT,,2022-05-01,,,2021-07-15,2013-11-15
